age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
28,1,2,3,0,1,0,0,8,4,339,3,6,2,2,-1.7,94.055,-39.8,0.729,4991.6,1
55,0,0,1,0,1,0,0,3,2,137,1,3,1,2,-2.9,92.201,-31.4,0.869,5076.2,1
36,5,0,3,0,0,0,0,8,0,174,1,3,1,2,-2.9,92.963,-40.8,1.266,5076.2,1
55,1,0,3,0,0,0,0,3,0,372,3,999,0,1,1.4,93.444,-36.1,4.965,5228.1,1
35,9,0,0,0,0,0,0,4,4,1034,2,999,0,1,-1.8,93.075,-47.1,1.365,5099.1,1
27,5,2,3,0,0,0,1,7,1,540,1,999,0,1,-0.1,93.798,-40.4,4.86,5195.8,1
29,8,0,0,0,1,0,0,8,2,365,3,999,0,1,-2.9,92.963,-40.8,1.268,5076.2,1
72,0,1,4,0,1,0,0,5,3,244,2,999,0,1,-3.4,92.649,-30.1,0.715,5017.5,1
30,1,0,3,0,0,0,0,6,0,116,1,999,0,1,-1.8,92.843,-50,1.811,5099.1,1
54,5,0,3,0,1,0,0,6,0,415,1,999,0,1,-1.8,92.843,-50,1.56,5099.1,1
40,6,0,2,0,2,2,1,5,4,160,1,999,0,1,-0.1,93.2,-42,4.245,5195.8,1
38,5,2,0,0,1,0,0,4,4,882,1,6,1,2,-1.8,93.749,-34.6,0.659,5008.7,1
33,6,2,1,0,1,1,0,4,4,460,1,999,0,1,-1.8,93.075,-47.1,1.365,5099.1,1
46,1,0,3,0,0,0,0,9,0,662,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
24,5,2,3,0,0,0,0,3,2,744,1,999,2,0,-1.7,94.027,-38.3,0.905,4991.6,1
64,0,0,7,0,0,0,0,3,2,252,4,999,0,1,-2.9,92.201,-31.4,0.849,5076.2,1
36,1,0,3,0,2,2,0,0,3,331,1,6,4,0,-1.1,94.199,-37.5,0.876,4963.6,1
50,3,0,2,0,1,1,0,2,0,673,6,3,1,2,-1.8,92.893,-46.2,1.354,5099.1,1
41,5,0,3,0,1,0,0,4,2,961,6,999,0,1,-1.8,93.749,-34.6,0.644,5008.7,1
23,1,2,3,0,1,0,0,4,0,122,1,999,0,1,-1.8,93.075,-47.1,1.392,5099.1,1
59,5,1,6,0,0,0,0,3,1,206,1,999,1,0,-2.9,92.201,-31.4,0.883,5076.2,1
48,5,2,3,0,1,0,0,3,3,118,1,0,2,2,-1.7,94.027,-38.3,0.9,4991.6,1
54,6,0,2,0,0,0,0,8,2,258,2,999,0,1,-2.9,92.963,-40.8,1.268,5076.2,1
37,5,0,3,0,1,1,0,8,0,412,2,999,0,1,-2.9,92.963,-40.8,1.266,5076.2,1
38,1,0,2,0,1,0,1,2,1,1000,1,999,0,1,1.1,93.994,-36.4,4.856,5191,1
35,8,1,1,0,0,0,0,5,1,363,1,999,0,1,-1.1,94.767,-50.8,1.035,4963.6,1
80,0,0,1,0,0,0,0,7,1,242,1,999,2,0,-3.4,92.431,-26.9,0.742,5017.5,1
47,6,0,0,0,0,0,0,4,4,439,2,999,0,1,-1.8,93.075,-47.1,1.365,5099.1,1
33,6,0,2,0,1,0,0,2,2,656,1,999,0,1,-1.8,92.893,-46.2,1.313,5099.1,1
40,0,0,1,2,1,0,0,9,2,1689,2,999,0,1,1.4,93.918,-42.7,4.963,5228.1,1
41,3,0,2,0,1,0,0,2,4,1135,3,999,1,0,-1.8,92.893,-46.2,1.327,5099.1,1
26,7,2,2,0,0,0,1,3,3,449,1,999,0,1,-2.9,92.201,-31.4,0.879,5076.2,1
34,1,0,3,0,0,0,0,4,0,163,1,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,1
48,4,0,6,0,1,0,0,0,0,315,2,999,0,1,-1.1,94.199,-37.5,0.879,4963.6,1
33,6,0,4,0,0,0,1,2,3,1183,1,999,0,1,1.1,93.994,-36.4,4.857,5191,1
40,2,1,0,0,0,0,1,8,3,1449,6,999,0,1,1.4,94.465,-41.8,4.864,5228.1,1
34,3,0,3,0,0,0,0,7,3,201,1,5,3,0,-3.4,92.431,-26.9,0.74,5017.5,1
31,8,2,6,0,1,0,0,3,1,935,1,999,0,1,1.4,93.444,-36.1,4.968,5228.1,1
43,5,2,3,0,1,0,0,4,0,670,4,11,1,2,-1.8,93.075,-47.1,1.405,5099.1,1
30,8,0,3,0,1,1,0,9,0,204,4,999,0,1,-1.7,94.215,-40.3,0.87,4991.6,1
27,6,2,4,0,0,0,0,9,1,1508,1,999,0,1,1.4,93.918,-42.7,4.961,5228.1,1
58,6,1,1,0,0,0,0,3,2,186,1,999,0,1,-2.9,92.201,-31.4,0.869,5076.2,1
61,0,0,3,0,1,0,0,4,1,216,1,999,0,1,-1.8,93.075,-47.1,1.423,5099.1,1
45,5,0,0,0,1,0,1,2,4,695,1,999,0,1,1.1,93.994,-36.4,4.86,5191,1
29,5,2,3,0,1,1,0,5,4,736,1,999,0,1,-0.1,93.2,-42,4.076,5195.8,1
20,7,2,7,0,1,0,0,4,3,184,4,999,0,1,-1.8,93.075,-47.1,1.498,5099.1,1
45,5,0,2,2,0,0,1,8,2,973,2,999,0,1,1.4,94.465,-41.8,4.959,5228.1,1
29,5,1,3,0,1,0,0,8,3,238,3,999,0,1,-2.9,92.963,-40.8,1.26,5076.2,1
72,0,0,0,0,0,0,0,5,0,257,1,999,0,1,-3.4,92.649,-30.1,0.714,5017.5,1
25,5,2,3,0,1,0,0,4,4,229,2,999,0,1,-1.8,93.075,-47.1,1.406,5099.1,1
24,5,2,0,0,0,0,0,9,0,452,1,14,1,2,-1.7,94.215,-40.3,0.827,4991.6,1
55,10,1,2,0,0,0,0,1,2,415,7,999,0,1,-3,92.713,-33,0.71,5023.5,1
27,7,2,0,0,0,0,0,6,2,219,1,999,0,1,-1.8,93.369,-34.8,0.653,5008.7,1
35,8,2,6,0,1,0,0,9,1,577,6,6,1,2,-1.7,94.215,-40.3,0.835,4991.6,1
25,5,0,3,0,0,0,0,6,2,243,3,999,0,1,-1.8,92.843,-50,1.531,5099.1,1
45,5,2,3,0,0,0,0,2,2,582,1,3,1,2,-1.8,92.893,-46.2,1.259,5099.1,1
25,7,2,0,0,1,0,0,2,4,959,3,999,1,0,-1.8,92.893,-46.2,1.266,5099.1,1
29,8,0,0,0,0,0,0,8,2,157,2,999,0,1,-2.9,92.963,-40.8,1.268,5076.2,1
26,5,0,2,0,0,0,0,9,1,878,2,999,0,1,1.4,93.918,-42.7,4.961,5228.1,1
21,7,2,0,0,1,0,0,4,2,551,1,999,0,1,-1.8,93.749,-34.6,0.663,5008.7,1
23,6,2,2,0,0,0,0,9,4,250,4,999,1,0,-1.7,94.215,-40.3,0.846,4991.6,1
51,1,0,3,0,1,0,0,3,1,249,1,999,0,1,-2.9,92.201,-31.4,0.884,5076.2,1
